Atomic_number	Element	Isotopes	Mass	Concentration	bc	bc_error	r_bi	r_bi_error	im_bi	im_bi_error	sigma_a	sigma_a_error	Inc_xs	siggam	sigma_i	
1	H	---	1.00794	---	-3.7390	0.0011	---	0	---	0	0.3326	0.0007	80.26	6	00.01	
1	H	1	1.0078250	99.985	-3.7406	0.0011	25.274	0.009	0.0	0	0.3326	0.0007	80.27	6	00.01	
1	H	2	2.014102	0.015	6.671	0.004	4.04	0.03	0.0	0	0.000519	0.000007	2.05	3	0.01	
1	D	---	2.014102	0.015	6.671	0.004	4.04	0.03	0.0	0	0.000519	0.000007	2.05	3	0.01	
1	H	3	3.016049	---	4.792	0.027	-1.04	0.17	0.0	0	0	0	0.14	4	0.01	
1	T	---	3.016049	---	4.792	0.027	-1.04	0.17	0.0	0	0	0	0.14	4	0.01	
2	He	---	4.002602	---	3.26	0.03	---	0	---	0	0.00747	0.00001	0	0	1	
2	He	3	3.016029	0.00014	5.74	0.07	-2.5	0.6	2.568	0.003	5333	7	1.6	4	0.1	
2	He	4	4.002603	99.99986	3.26	0.03	0	0	0	0	0	0	0	0	1	
3	Li	---	6.941	---	-1.90	0.02	---	0	---	0	70.5	0.3	0.92	3	0.01	
3	Li	6	6.015123	7.5	2.00	0.11	-1.89	0.1	0.26	0.01	940	4	0.46	5	0.01	
3	Li	7	7.016005	92.5	-2.22	0.02	-2.49	0.05	0.0	0	0.0454	0.0003	0.78	3	0.01	
4	Be	---	9.012182	100	7.79	0.01	0.12	0.03	0.0	0	0.0076	0.0008	0.0018	9	0.0001	
5	B	---	10.811	---	5.30	0.04	---	0	---	0	767	8	1.70	12	0.1	
5	B	10	10.012937	20	-0.1	0.3	-4.7	0.3	1.231	0.003	3835	9	3	4	1	
5	B	11	11.009305	80	6.65	0.04	-1.3	0.2	0.0	0	0.0055	0.0033	0.21	7	0.01	
6	C	---	12.0107	---	6.6460	0.0012	---	0	---	0	0.00350	0.00007	0.001	4	0.001	
6	C	12	12.000000	98.9	6.6511	0.0016	0	0	0	0	0.00353	0.00007	0	0	1	
6	C	13	13.003355	1.1	6.19	0.09	-0.52	0.09	0.0	0	0.00137	0.00004	0.034	11	0.001	
7	N	---	14.0067	---	9.36	0.02	---	0	---	0	1.90	0.03	0.50	12	0.1	
7	N	14	14.003074	99.63	9.37	0.02	2.0	0.2	0.0	0	1.91	0.03	0.5	1	0.1	
7	N	15	15.000109	0.37	6.44	0.03	-0.02	0.02	0.0	0	0.000024	0.000008	0.00005	10	0.00001	
8	O	---	15.9994	---	5.803	0.004	---	0	---	0	0.00019	0.00002	0.000	8	0.0001	
8	O	16	15.994915	99.762	5.803	0.004	0	0	0.0	0	0.00010	0.00002	0	0	1	
8	O	17	16.999132	0.038	5.78	0.15	0.18	0.06	0.0	0	0.236	0.01	0.004	3	0.001	
8	O	18	17.999161	0.2	5.84	0.07	0	0	0	0	0.00016	0.00001	0	0	1	
9	F	---	18.9984032	100	5.654	0.01	-0.082	0.009	0.0	0	0.0096	0.0005	0.0008	2	0.0001	
10	Ne	---	20.1797	---	4.566	0.006	---	0	---	0	0.039	0.004	0.008	9	0.001	
10	Ne	20	19.992440	90.51	4.631	0.006	0	0	0	0	0.036	0.004	0	0	1	
10	Ne	21	20.993847	0.27	6.66	0.19	0.6	0.1	0.0	0	0.67	0.11	0.05	2	0.01	
10	Ne	22	21.991385	9.22	3.87	0.01	0	0	0	0	0.046	0.006	0	0	1	
11	Na	---	22.98976928	100	3.63	0.02	3.59	0.03	0.0	0	0.530	0.005	1.62	3	0.01	
12	Mg	---	24.305	---	5.375	0.004	---	0	---	0	0.063	0.003	0.08	6	0.01	
12	Mg	24	23.985042	78.99	5.66	0.03	0	0	0	0	0.050	0.005	0	0	1	
12	Mg	25	24.985837	10	3.62	0.14	1.48	0.1	0.0	0	0.19	0.03	0.28	4	0.01	
12	Mg	26	25.982593	11.01	4.89	0.15	0	0	0	0	0.0382	0.0008	0	0	1	
13	Al	---	26.9815386	100	3.449	0.005	0.256	0.01	0.0	0	0.231	0.003	0.0082	6	0.0001	
14	Si	---	28.0855	---	4.1491	0.001	---	0	---	0	0.171	0.003	0.004	8	0.001	
14	Si	28	27.976927	92.23	4.107	0.006	0	0	0	0	0.177	0.003	0	0	1	
14	Si	29	28.976495	4.67	4.70	0.1	0.09	0.09	0.0	0	0.101	0.014	0.001	2	0.001	
14	Si	30	29.973770	3.1	4.58	0.08	0	0	0	0	0.107	0.002	0	0	1	
15	P	---	30.973762	100	5.13	0.01	0.2	0.2	0.0	0	0.172	0.006	0.005	10	0.001	
16	S	---	32.065	---	2.847	0.001	---	0	---	0	0.53	0.01	0.007	5	0.001	
16	S	32	31.972071	95.02	2.804	0.002	0	0	0	0	0.54	0.04	0	0	1	
16	S	33	32.971459	0.75	4.74	0.19	1.5	1.5	0.0	0	0.54	0.04	0.3	6	0.1	
16	S	34	33.967867	4.21	3.48	0.03	0	0	0	0	0.227	0.005	0	0	1	
16	S	36	35.967081	0.02	3.	1	0	0	0	0	0.15	0.03	0	0	1	
17	Cl	---	35.453	---	9.5770	0.0008	---	0	---	0	33.5	0.3	5.3	5	0.1	
17	Cl	35	34.968853	75.77	11.65	0.02	6.1	0.4	0.0	0	44.1	0.4	4.7	6	0.1	
17	Cl	37	36.965903	24.23	3.08	0.06	0.1	0.1	0.0	0	0.433	0.006	0.001	3	0.001	
18	Ar	---	39.948	---	1.909	0.006	---	0	---	0	0.675	0.009	0.225	5	0.001	
18	Ar	36	35.967545	0.337	24.90	0.07	0	0	0	0	5.2	0.5	0	0	1	
