Num	Elem	Mass
1	H	1.00794
2	He	4.002602
3	Li	6.941
4	Be	9.012182
5	B	10.811
6	C	12.0107
7	N	14.0067
8	O	15.9994
9	F	18.9984032
10	Ne	20.1797
11	Na	22.98976928
12	Mg	24.305
13	Al	26.9815386
14	Si	28.0855
15	P	30.973762
16	S	32.065
17	Cl	35.453
18	Ar	39.948
19	K	39.0983
20	Ca	40.078
21	Sc	44.955912
22	Ti	47.867
23	V	50.9415
24	Cr	51.9961
25	Mn	54.938045
26	Fe	55.845
27	Co	58.933195
28	Ni	58.6934
29	Cu	63.546
30	Zn	65.409
31	Ga	69.723
32	Ge	72.64
33	As	74.9216
34	Se	78.96
35	Br	79.904
36	Kr	83.798
37	Rb	85.4678
38	Sr	87.62
39	Y	88.90585
40	Zr	91.224
41	Nb	92.90638
42	Mo	95.94
43	Tc	---
44	Ru	101.07
45	Rh	102.9055
46	Pd	106.42
47	Ag	107.8682
48	Cd	112.411
49	In	114.818
50	Sn	118.71
51	Sb	121.76
52	Te	127.6
53	I	126.90447
54	Xe	131.293
55	Cs	132.9054519
56	Ba	137.327
57	La	138.90547
58	Ce	140.116
59	Pr	140.90765
60	Nd	144.242
61	Pm	---
62	Sm	150.36
63	Eu	151.964
64	Gd	157.25
65	Tb	158.92535
66	Dy	162.5
67	Ho	164.93032
68	Er	167.259
69	Tm	168.93421
70	Yb	173.04
71	Lu	174.967
72	Hf	178.49
73	Ta	180.9479
74	W	183.84
75	Re	186.207
76	Os	190.23
77	Ir	192.217
78	Pt	195.084
79	Au	196.966569
80	Hg	200.59
81	Tl	204.3833
82	Pb	207.2
83	Bi	208.9804
84	Po	---
85	At	---
86	Rn	---
87	Fr	---
88	Ra	---
89	Ac	---
90	Th	232.03806
91	Pa	231.03588
92	U	238.02891
93	Np	---
94	Pu	---
95	Am	---
96	Cm	---
97	Bk	---
98	Cf	---
99	Es	---
100	Fm	---
101	Md	---
102	No	---
103	Lr	---
104	Rf	---
105	Db	---
106	Sg	---
107	Bh	---
108	Hs	---
109	Mt	---
