Element	A	Atomic_mass (u)	Abundance										
H	1	1.0078250	0.99985										
H	2	2.014102	0.00015										
H	3	3.016049	---										
He	3	3.016029	0.00000137										
He	4	4.002603	0.99999863										
Li	6	6.015123	0.0759										
Li	7	7.016005	0.9241										
Li	8	8.022487	---										
Be	7	7.016930	---										
Be	8	8.005305	---										
Be	9	9.012182	1										
Be	10	10.013534	---										
Be	11	11.021658	---										
B	8	8.024607	---										
B	9	9.013329	---										
B	10	10.012937	0.198										
B	11	11.009305	0.802										
B	12	12.014352	---										
C	10	10.016853	---										
C	11	11.011434	---										
C	12	12.000000	0.9889										
C	13	13.003355	0.0111										
C	14	14.003242	---										
C	15	15.010599	---										
N	13	13.005739	---										
N	14	14.003074	0.9963										
N	15	15.000109	0.0037										
N	16	16.006102	---										
N	17	17.008450	---										
O	14	14.008596	---										
O	15	15.003066	---										
O	16	15.994915	0.9976										
O	17	16.999132	0.00038										
O	18	17.999161	0.002										
O	19	19.003580	---										
O	20	20.004077	---										
F	17	17.002095	---										
F	18	18.000938	---										
F	19	18.998403	1										
F	20	19.999981	---										
F	21	20.999949	---										
Ne	18	18.005708	---										
Ne	19	19.001880	---										
Ne	20	19.992440	0.9048										
Ne	21	20.993847	0.0027										
Ne	22	21.991385	0.0925										
Ne	23	22.994467	---										
Ne	24	23.993611	---										
Na	21	20.997655	---										
Na	22	21.994436	---										
Na	23	22.989769	1										
Na	24	23.990963	---										
Na	25	24.989954	---										
Na	26	25.992633	---										
Mg	22	21.999574	---										
Mg	23	22.994124	---										
Mg	24	23.985042	0.7899										
Mg	25	24.985837	0.1										
Mg	26	25.982593	0.1101										
Mg	27	26.984341	---										
Mg	28	27.983877	---										
Al	25	24.990428	---										
Al	26	25.986892	---										
Al	27	26.981539	1										
Al	28	27.981910	---										
Al	29	28.980445	---										
Si	26	25.992330	---										
Si	27	26.986705	---										
Si	28	27.976927	0.9223										
Si	29	28.976495	0.0468										
Si	30	29.973770	0.0309										
Si	31	30.975363	---										
Si	32	31.974148	---										
P	29	28.981801	---										
P	30	29.978314	---										
P	31	30.973762	1										
P	32	31.973907	---										
P	33	32.971726	---										
S	30	29.984903	---										
S	31	30.979555	---										
S	32	31.972071	0.9502										
S	33	32.971459	0.0075										
S	34	33.967867	0.0421										
S	35	34.969032	---										
S	36	35.967081	0.0002										
S	37	36.971126	---										
Cl	33	32.977452	---										
Cl	34	33.973763	---										
Cl	35	34.968853	0.7577										
Cl	36	35.968307	---										
Cl	37	36.965903	0.2423										
Cl	38	37.968010	---										
Cl	39	38.968008	---										
Ar	34	33.980271	---										
Ar	35	35.967545	---										
Ar	36	35.967545	0.00337										
Ar	37	36.966776	---										
Ar	38	37.962732	0.00063										
Ar	39	38.964313	---										
Ar	40	39.962383	0.996										
Ar	41	40.964501	---										
Ar	42	41.963046	---										
K	37	36.973376	---										
K	38	37.969081	---										
K	39	38.963707	0.9326										
K	40	39.963998	---										
K	41	40.961826	0.0673										
K	42	41.962403	---										
K	43	42.960716	---										
Ca	38	37.976318	---										
Ca	39	38.970720	---										
Ca	40	39.962591	0.9694										
Ca	41	40.962278	---										
Ca	42	41.958618	0.00647										
Ca	43	42.958767	0.00135										
Ca	44	43.955482	0.0209										
Ca	45	44.956187	---										
Ca	46	45.953693	0.000035										
Ca	47	46.954546	---										
Ca	48	47.952534	0.00187										
Ca	49	48.955674	---										
Sc	43	42.961151	---										
Sc	44	43.959403	---										
Sc	45	44.955912	1										
Sc	46	45.955172	---										
Sc	47	46.952408	---										
Sc	48	47.952231	---										
Ti	44	43.959690	---										
Ti	45	44.958126	---										
Ti	46	45.952632	0.0825										
Ti	47	46.951763	0.0744										
Ti	48	47.947946	0.7372										
Ti	49	48.947870	0.0541										
Ti	50	49.944791	0.0518										
Ti	51	50.946615	---										
Ti	52	51.946897	---										
V	48	47.952254	---										
V	49	48.948516	---										
V	50	49.947158	0.0025										
V	51	50.943960	0.9975										
V	52	51.944775	---										
V	53	52.944338	---										
Cr	48	47.954032	---										
Cr	49	48.951336	---										
Cr	50	49.946044	0.0435										
Cr	51	50.944767	---										
Cr	52	51.940507	0.8379										
Cr	53	52.940649	0.095										
Cr	54	53.938880	0.0236										
Cr	55	54.940840	---										
Cr	56	55.940653	---										
Mn	52	51.945565	---										
Mn	53	52.941290	---										
Mn	54	53.940359	---										
Mn	55	54.938045	1										
Mn	56	55.938905	---										
Mn	57	56.938285	---										
Fe	52	51.948114	---										
Fe	53	52.945308	---										
Fe	54	53.939611	0.0585										
Fe	55	54.938293	---										
Fe	56	55.934937	0.9175										
Fe	57	56.935394	0.0212										
Fe	58	57.933276	0.0028										
Fe	59	58.934875	---										
Fe	60	59.934072	---										
Fe	61	60.936745	---										
Co	57	56.936291	---										
Co	58	57.935753	---										
Co	59	58.933195	1										
Co	60	59.933817	---										
Co	61	60.932476	---										
Ni	56	55.942132	---										
Ni	57	56.939794	---										
Ni	58	57.935343	0.6808										
Ni	59	58.934347	---										
Ni	60	59.930786	0.2622										
Ni	61	60.931056	0.0114										
Ni	62	61.928345	0.0363										
Ni	63	62.929669	---										
Ni	64	63.927966	0.0093										
Ni	65	64.930084	---										
Cu	61	60.933458	---										
Cu	62	61.932584	---										
Cu	63	62.929597	0.6917										
Cu	64	63.929764	---										
Cu	65	64.927789	0.3083										
Cu	66	65.928869	---										
Cu	67	66.927730	---										
Zn	62	61.934330	---										
Zn	63	62.933212	---										
Zn	64	63.929142	0.486										
Zn	65	64.929241	---										
Zn	66	65.926033	0.279										
Zn	67	66.927127	0.041										
Zn	68	67.924844	0.188										
Zn	69	68.926550	---										
Zn	70	69.925319	0.0062										
