Isotope	Element	Mass_Isotope	conc	Coh_b	realCoh_b	ImCoh_b	Inc_b	realInc_b	ImInc_b	Coh_xs	Inc_xs	Scatt_xs	Abs_xs
H	H	---	---	-3.7390	-3.7390	0.0	---	---	---	1.7568	80.26	82.02	0.3326
1H	H	1	99.985	-3.7406	-3.7406	0.0	25.274	25.274	0.0	1.7583	80.27	82.03	0.3326
2H	H	2	0.015	6.671	6.671	0.0	4.04	4.04	0.0	5.592	2.05	7.64	0.000519
3H	H	3	---	4.792	4.792	0.0	-1.04	-1.04	0.0	2.89	0.14	3.03	0
He	He	---	---	3.26(3)	3.26(3)	0.0	---	---	---	1.34	0	1.34	0.00747
3He	He	3	0.00014	5.74-1.483i	5.74	-1.483	-2.5+2.568i	-2.5	2.568	4.42	1.6	6	5333.(7.)
4He	He	4	99.99986	3.26	3.26	0.0	0	0	0	1.34	0	1.34	0
Li	Li	---	---	-1.90	-1.90	0.0	---	---	---	0.454	0.92	1.37	70.5
6Li	Li	6	7.5	2.00-0.261i	2.00	-0.261	-1.89+0.26i	-1.89	0.26	0.51	0.46	0.97	940.(4.)
7Li	Li	7	92.5	-2.22	-2.22	0.0	-2.49	-2.49	0.0	0.619	0.78	1.4	0.0454
Be	Be	---	100	7.79	7.79	0.0	0.12	0.12	0.0	7.63	0.0018	7.63	0.0076
B	B	---	---	5.30-0.213i	5.30	-0.213	---	---	---	3.54	1.7	5.24	767.(8.)
10B	B	10	20	-0.1-1.066i	-0.1	-1.066	-4.7+1.231i	-4.7	1.231	0.144	3	3.1	3835.(9.)
11B	B	11	80	6.65	6.65	0.0	-1.3	-1.3	0.0	5.56	0.21	5.77	0.0055
C	C	---	---	6.6460	6.6460	0.0	---	---	---	5.551	0.001	5.551	0.0035
12C	C	12	98.9	6.6511	6.6511	0.0	0	0	0	5.559	0	5.559	0.00353
13C	C	13	1.1	6.19	6.19	0.0	-0.52	-0.52	0.0	4.81	0.034	4.84	0.00137
N	N	---	---	9.36	9.36	0.0	---	---	---	11.01	0.5	11.51	1.9
14N	N	14	99.63	9.37	9.37	0.0	2.0	2.0	0.0	11.03	0.5	11.53	1.91
15N	N	15	0.37	6.44	6.44	0.0	-0.02	-0.02	0.0	5.21	0.00005	5.21	0.000024
O	O	---	---	5.803	5.803	0.0	---	---	---	4.232	0.0008	4.232	0.00019
16O	O	16	99.762	5.803	5.803	0.0	0	0	0.0	4.232	0	4.232	0.0001
17O	O	17	0.038	5.78	5.78	0.0	0.18	0.18	0.0	4.2	0.004	4.2	0.236
18O	O	18	0.2	5.84	5.84	0.0	0	0	0	4.29	0	4.29	0.00016
F	F	---	100	5.654	5.654	0.0	-0.082	-0.082	0.0	4.017	0.0008	4.018	0.0096
Ne	Ne	---	---	4.566	4.566	0.0	---	---	---	2.62	0.008	2.628	0.039
20Ne	Ne	20	90.51	4.631	4.631	0.0	0	0	0	2.695	0	2.695	0.036
21Ne	Ne	21	0.27	6.66	6.66	0.0	(+/-)0.6	(+/-)0.6	0.0	5.6	0.05	5.7	0.67
22Ne	Ne	22	9.22	3.87	3.87	0.0	0	0	0	1.88	0	1.88	0.046
Na	Na	---	100	3.63	3.63	0.0	3.59	3.59	0.0	1.66	1.62	3.28	0.53
Mg	Mg	---	---	5.375	5.375	0.0	---	---	---	3.631	0.08	3.71	0.063
24Mg	Mg	24	78.99	5.66	5.66	0.0	0	0	0	4.03	0	4.03	0.05
25Mg	Mg	25	10	3.62	3.62	0.0	1.48	1.48	0.0	1.65	0.28	1.93	0.19
26Mg	Mg	26	11.01	4.89	4.89	0.0	0	0	0	3	0	3	0.0382
Al	Al	---	100	3.449	3.449	0.0	0.256	0.256	0.0	1.495	0.0082	1.503	0.231
Si	Si	---	---	4.1491	4.1491	0.0	---	---	---	2.163	0.004	2.167	0.171
28Si	Si	28	92.23	4.107	4.107	0.0	0	0	0	2.12	0	2.12	0.177
29Si	Si	29	4.67	4.70	4.70	0.0	0.09	0.09	0.0	2.78	0.001	2.78	0.101
30Si	Si	30	3.1	4.58	4.58	0.0	0	0	0	2.64	0	2.64	0.107
P	P	---	100	5.13	5.13	0.0	0.2	0.2	0.0	3.307	0.005	3.312	0.172
S	S	---	---	2.847	2.847	0.0	---	---	---	1.0186	0.007	1.026	0.53
32S	S	32	95.02	2.804	2.804	0.0	0	0	0	0.988	0	0.988	0.54
33S	S	33	0.75	4.74	4.74	0.0	1.5	1.5	0.0	2.8	0.3	3.1	0.54
34S	S	34	4.21	3.48	3.48	0.0	0	0	0	1.52	0	1.52	0.227
36S	S	36	0.02	3.(1.)	3.(1.)	0.0	0	0	0	1.1	0	1.1	0.15
Cl	Cl	---	---	9.5770	9.5770	0.0	---	---	---	11.5257	5.3	16.8	33.5
35Cl	Cl	35	75.77	11.65	11.65	0.0	6.1	6.1	0.0	17.06	4.7	21.8	44.1
37Cl	Cl	37	24.23	3.08	3.08	0.0	0.1	0.1	0.0	1.19	0.001	1.19	0.433
Ar	Ar	---	---	1.909	1.909	0.0	---	---	---	0.458	0.225	0.683	0.675
36Ar	Ar	36	0.337	24.90	24.90	0.0	0	0	0	77.9	0	77.9	5.2
38Ar	Ar	38	0.063	3.5	3.5	0.0	0	0	0	1.5(3.1)	0	1.5(3.1)	0.8
40Ar	Ar	40	99.6	1.830	1.830	0.0	0	0	0	0.421	0	0.421	0.66
K	K	---	---	3.67	3.67	0.0	---	---	---	1.69	0.27	1.96	2.1
39K	K	39	93.258	3.74	3.74	0.0	1.4	1.4	0.0	1.76	0.25	2.01	2.1
40K	K	40	0.012	3.(1.)	3.(1.)	0.0	---	---	---	1.1	0.5	1.6	35.(8.)
