Isotope	Element	Mass_Isotope	conc	bc	Error	real_bi	Error	Im_bi	Error	Abs_xs	Error
H	H	---	---	-3.7390	11	---		---	---	0.3326	7
1H	H	1	99.985	-3.7406	11	25.274	9	0.0	---	0.3326	7
2H	H	2	0.015	6.671	4	4.04	3	0.0	---	0.000519	7
3H	H	3	---	4.792	27	-1.04	17	0.0	---	0	---
He	He	---	---	3.26	3	---	---	---	---	0.00747	1
3He	He	3	0.00014	5.74	7	-2.5	6	2.568	3	5333	7
4He	He	4	99.99986	3.26	3	0	---	0	---	0	---
Li	Li	---	---	-1.90	2	---	---	---	---	70.5	3
6Li	Li	6	7.5	2.00	11	-1.89	10	0.26	1	940	4
7Li	Li	7	92.5	-2.22	2	-2.49	5	0.0	---	0.0454	3
Be	Be	---	100	7.79	1	0.12	3	0.0	---	0.0076	8
B	B	---	---	5.30	4	---	---	---	---	767	8
10B	B	10	20	-0.1	3	-4.7	3	1.231	3	3835	9
11B	B	11	80	6.65	4	-1.3	2	0.0	---	0.0055	33
C	C	---	---	6.6460	12	---	---	---	---	0.00350	7
12C	C	12	98.9	6.6511	16	0	---	0	---	0.00353	7
13C	C	13	1.1	6.19	9	-0.52	9	0.0	---	0.00137	4
N	N	---	---	9.36	2	---	---	---	---	1.90	3
14N	N	14	99.63	9.37	2	2.0	2	0.0	---	1.91	3
15N	N	15	0.37	6.44	3	-0.02	2	0.0	---	0.000024	8
O	O	---	---	5.803	4	---	---	---	---	0.00019	2
16O	O	16	99.762	5.803	4	0	---	0.0	---	0.00010	2
17O	O	17	0.038	5.78	15	0.18	6	0.0	---	0.236	10
18O	O	18	0.2	5.84	7	0	---	0	---	0.00016	1
F	F	---	100	5.654	10	-0.082	9	0.0	---	0.0096	5
Ne	Ne	---	---	4.566	6	---	---	---	---	0.039	4
20Ne	Ne	20	90.51	4.631	6	0	---	0	---	0.036	4
21Ne	Ne	21	0.27	6.66	19	0.6	1	0.0	---	0.67	11
22Ne	Ne	22	9.22	3.87	1	0	---	0	---	0.046	6
Na	Na	---	100	3.63	2	3.59	3	0.0	---	0.530	5
Mg	Mg	---	---	5.375	4	---	---	---	---	0.063	3
24Mg	Mg	24	78.99	5.66	3	0	---	0	---	0.050	5
25Mg	Mg	25	10	3.62	14	1.48	10	0.0	---	0.19	3
26Mg	Mg	26	11.01	4.89	15	0	---	0	---	0.0382	8
Al	Al	---	100	3.449	5	0.256	10	0.0	---	0.231	3
Si	Si	---	---	4.1491	10	---	---	---	---	0.171	3
28Si	Si	28	92.23	4.107	6	0	---	0	---	0.177	3
29Si	Si	29	4.67	4.70	10	0.09	9	0.0	---	0.101	14
30Si	Si	30	3.1	4.58	8	0	---	0	---	0.107	2
P	P	---	100	5.13	1	0.2	2	0.0	---	0.172	6
S	S	---	---	2.847	1	---	---	---	---	0.53	1
32S	S	32	95.02	2.804	2	0	---	0	---	0.54	4
33S	S	33	0.75	4.74	19	1.5	15	0.0	---	0.54	4
34S	S	34	4.21	3.48	3	0	---	0	---	0.227	5
36S	S	36	0.02	3.	1	0	---	0	---	0.15	3
Cl	Cl	---	---	9.5770	8	---	---	---	---	33.5	3
35Cl	Cl	35	75.77	11.65	2	6.1	4	0.0	---	44.1	4
37Cl	Cl	37	24.23	3.08	6	0.1	1	0.0	---	0.433	6
Ar	Ar	---	---	1.909	6	---	---	---	---	0.675	9
36Ar	Ar	36	0.337	24.90	7	0	---	0	---	5.2	5
38Ar	Ar	38	0.063	3.5	35	0	---	0	---	0.8	2
40Ar	Ar	40	99.6	1.830	6	0	---	0	---	0.660	9
K	K	---	---	3.67	2	---	---	---	---	2.1	1
